timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
3369229,4.601953,0.0,0,0,1,0,1,0,0
3869216,4.597119,0.0,0,0,1,0,1,0,0
4379247,4.5987306,0.0,0,0,1,0,1,0,0
4879216,4.676074,0.0,0,0,1,0,1,0,0
5379216,4.6470704,0.0,0,0,1,0,1,0,0
5879216,4.6100097,0.0,0,0,1,0,1,0,0
6379216,4.6567383,0.0,0,0,1,0,1,0,0
6879216,4.500439,0.0,0,0,1,0,1,0,0
7379224,4.503662,0.0,0,0,1,0,1,0,0
7889217,4.5375,0.0,0,0,1,0,1,0,0
8389235,4.5955076,0.0,0,0,1,0,1,0,0
8889223,4.627734,0.0,0,0,1,0,1,0,0
9389237,4.5600586,0.0,0,0,1,0,1,0,0
9889216,4.6035643,0.0,0,0,1,0,1,0,0
10389216,4.6245117,0.0,0,0,1,0,1,0,0
10889216,4.4553223,0.0,0,0,1,0,1,0,0
11389225,4.6728516,0.0,0,0,1,0,1,0,0
11889216,4.701855,0.0,0,0,1,0,1,0,0
12389216,4.568115,0.0,0,0,1,0,1,0,0
12889252,4.676074,0.0,0,0,1,0,1,0,0
13399244,4.539111,0.0,0,0,1,0,1,0,0
13899216,4.5052733,0.0,0,0,1,0,1,0,0
14399216,4.600342,0.0,0,0,1,0,1,0,0
14899235,4.6873536,0.0,0,0,1,0,1,0,0
15409216,4.500439,0.0,0,0,1,0,1,0,0
15909216,4.5793943,0.0,0,0,1,0,1,0,0
16409217,4.621289,0.0,0,0,1,0,1,0,0
16909216,4.592285,0.0,0,0,1,0,1,0,0
17409216,4.600342,0.0,0,0,1,0,1,0,0
17909229,4.637402,0.0,0,0,1,0,1,0,0
18409216,4.5713377,0.0,0,0,1,0,1,0,0
18909217,4.576172,0.0,0,0,1,0,1,0,0
19409216,4.6438475,0.0,0,0,1,0,1,0,0
19919216,4.5987306,0.0,0,0,1,0,1,0,0
20419216,4.5503907,0.0,0,0,1,0,1,0,0
20919216,4.5713377,0.0,0,0,1,0,1,0,0
21419216,4.592285,0.0,0,0,1,0,1,0,0
21919219,4.5858397,0.0,0,0,1,0,1,0,0
22419216,4.5713377,0.0,0,0,1,0,1,0,0
22929261,4.5987306,0.0,0,0,1,0,1,0,0
23429216,4.627734,0.0,0,0,1,0,1,0,0
23929239,4.553613,0.0,0,0,1,0,1,0,0
24429229,4.655127,0.0,0,0,1,0,1,0,0
24929239,4.6245117,0.0,0,0,1,0,1,0,0
25429216,4.5326657,0.0,0,0,1,0,1,0,0
25929216,4.576172,0.0,0,0,1,0,1,0,0
26439253,4.6825194,0.0,0,0,1,0,1,0,0
26939216,4.5793943,0.0,0,0,1,0,1,0,0
27939227,4.6937985,0.0,0,0,1,0,1,0,0
28439216,4.527832,0.0,0,0,1,0,1,0,0
28939236,4.547168,0.0,0,0,1,0,1,0,0
29449216,4.642236,0.0,0,0,1,0,1,0,0
29949237,4.611621,0.0,0,0,1,0,1,0,0
30449258,4.6100097,0.0,0,0,1,0,1,0,0
30949216,4.6921873,0.0,0,0,1,0,1,0,0
31449216,4.5552244,0.0,0,0,1,0,1,0,0
31959216,4.5552244,0.0,0,0,1,0,1,0,0
32459216,4.6438475,0.0,0,0,1,0,1,0,0
32959260,4.5987306,0.0,0,0,1,0,1,0,0
33459219,4.630957,0.0,0,0,1,0,1,0,0
33969218,4.5697265,0.0,0,0,1,0,1,0,0
34469216,4.5955076,0.0,0,0,1,0,1,0,0
34969224,4.405371,0.0,0,0,1,0,1,0,0
35469216,4.679297,0.0,0,0,1,0,1,0,0
35969216,4.572949,0.0,0,0,1,0,1,0,0
36469239,4.6180663,0.0,0,0,1,0,1,0,0
36969228,4.6035643,0.0,0,0,1,0,1,0,0
37469216,4.626123,0.0,0,0,1,0,1,0,0
37979281,4.5503907,0.0,0,0,1,0,1,0,0
38479216,4.642236,0.0,0,0,1,0,1,0,0
38979216,4.502051,0.0,0,0,1,0,1,0,0
39979216,4.613232,0.0,0,0,1,0,1,0,0
40479216,4.450488,0.0,0,0,1,0,1,0,0
40979225,4.577783,0.0,0,0,1,0,1,0,0
41479219,4.5310545,0.0,0,0,1,0,1,0,0
41979232,4.7083006,0.0,0,0,1,0,1,0,0
42479216,4.553613,0.0,0,0,1,0,1,0,0
42989247,4.621289,0.0,0,0,1,0,1,0,0
43489216,4.473047,0.0,0,0,1,0,1,0,0
43989216,4.547168,0.0,0,0,1,0,1,0,0
44489216,4.4859376,0.0,0,0,1,0,1,0,0
44989254,4.6083984,0.0,0,0,1,0,1,0,0
45489216,4.592285,0.0,0,0,1,0,1,0,0
45989216,4.5842285,0.0,0,0,1,0,1,0,0
46489226,4.5455565,0.0,0,0,1,0,1,0,0
46989217,4.5713377,0.0,0,0,1,0,1,0,0
47499231,4.606787,0.0,0,0,1,0,1,0,0
47999242,4.563281,0.0,0,0,1,0,1,0,0
48499246,4.690576,0.0,0,0,1,0,1,0,0
48999216,4.616455,0.0,0,0,1,0,1,0,0
49499216,4.5052733,0.0,0,0,1,0,1,0,0
50009236,4.640625,0.0,0,0,1,0,1,0,0
50509216,4.6035643,0.0,0,0,1,0,1,0,0
51009216,4.460156,0.0,0,0,1,0,1,0,0
51509245,4.589062,0.0,0,0,1,0,1,0,0
52009216,4.6470704,0.0,0,0,1,0,1,0,0
52519216,4.4762692,0.0,0,0,1,0,1,0,0
53019216,4.548779,0.0,0,0,1,0,1,0,0
54519216,4.514941,0.0,0,0,1,0,1,0,0
55019216,4.716357,0.0,0,0,1,0,1,0,0
55519216,4.5745606,0.0,0,0,1,0,1,0,0
56019216,4.568115,0.0,0,0,1,0,1,0,0
56529221,4.5842285,0.0,0,0,1,0,1,0,0
57029216,4.568115,0.0,0,0,1,0,1,0,0
57529235,4.5068846,0.0,0,0,1,0,1,0,0
58029216,4.6535153,0.0,0,0,1,0,1,0,0
58529216,4.518164,0.0,0,0,1,0,1,0,0
59029216,4.5294433,0.0,0,0,1,0,1,0,0
59529216,4.6680174,0.0,0,0,1,0,1,0,0
60029216,4.4327636,0.0,0,0,1,0,1,0,0
60529216,4.6245117,0.0,0,0,1,0,1,0,0
61029216,4.572949,0.0,0,0,1,0,1,0,0
61539234,4.590674,0.0,0,0,1,0,1,0,0
62539216,4.5294433,0.0,0,0,1,0,1,0,0
63039216,4.5584474,0.0,0,0,1,0,1,0,0
63539216,4.611621,0.0,0,0,1,0,1,0,0
64049216,4.5713377,0.0,0,0,1,0,1,0,0
64549216,4.651904,0.0,0,0,1,0,1,0,0
65049233,4.589062,0.0,0,0,1,0,1,0,0
65549216,4.5810056,0.0,0,0,1,0,1,0,0
66049216,4.572949,0.0,0,0,1,0,1,0,0
66559244,4.51333,0.0,0,0,1,0,1,0,0
67059216,4.5955076,0.0,0,0,1,0,1,0,0
67559222,4.6341796,0.0,0,0,1,0,1,0,0
68059216,4.6728516,0.0,0,0,1,0,1,0,0
68559216,4.3296385,0.0,0,0,1,0,1,0,0
69069216,4.701855,0.0,0,0,1,0,1,0,0
69569216,4.5342774,0.0,0,0,1,0,1,0,0
70069226,4.630957,0.0,0,0,1,0,1,0,0
70569232,4.5793943,0.0,0,0,1,0,1,0,0
71079216,4.498828,0.0,0,0,1,0,1,0,0
71579223,4.5568357,0.0,0,0,1,0,1,0,0
73079225,4.597119,0.0,0,0,1,0,1,0,0
73579218,4.600342,0.0,0,0,1,0,1,0,0
74079216,4.502051,0.0,0,0,1,0,1,0,0
74579219,4.5358887,0.0,0,0,1,0,1,0,0
75089242,4.4762692,0.0,0,0,1,0,1,0,0
75589237,4.642236,0.0,0,0,1,0,1,0,0
76089216,4.6245117,0.0,0,0,1,0,1,0,0
76589242,4.611621,0.0,0,0,1,0,1,0,0
77089216,4.6035643,0.0,0,0,1,0,1,0,0
77589216,4.685742,0.0,0,0,1,0,1,0,0
78089216,4.3973145,0.0,0,0,1,0,1,0,0
78599216,4.5955076,0.0,0,0,1,0,1,0,0
79099216,4.5600586,0.0,0,0,1,0,1,0,0
79599241,4.589062,0.0,0,0,1,0,1,0,0
80099240,4.6180663,0.0,0,0,1,0,1,0,0
80599219,4.502051,0.0,0,0,1,0,1,0,0
81099216,4.5987306,0.0,0,0,1,0,1,0,0
81599244,4.5310545,0.0,0,0,1,0,1,0,0
82099239,4.6196775,0.0,0,0,1,0,1,0,0
82609216,4.589062,0.0,0,0,1,0,1,0,0
83109216,4.6325684,0.0,0,0,1,0,1,0,0
83609236,4.5117188,0.0,0,0,1,0,1,0,0
84109232,4.642236,0.0,0,0,1,0,1,0,0
84609216,4.5503907,0.0,0,0,1,0,1,0,0
85109245,4.473047,0.0,0,0,1,0,1,0,0
85609216,4.6245117,0.0,0,0,1,0,1,0,0
86109255,4.5745606,0.0,0,0,1,0,1,0,0
86609237,4.627734,0.0,0,0,1,0,1,0,0
87109216,4.6245117,0.0,0,0,1,0,1,0,0
87619247,4.614844,0.0,0,0,1,0,1,0,0
88119216,4.400537,0.0,0,0,1,0,1,0,0
88619216,4.676074,0.0,0,0,1,0,1,0,0
89119216,4.5826173,0.0,0,0,1,0,1,0,0
89619266,4.5407224,0.0,0,0,1,0,1,0,0
90129230,4.5713377,0.0,0,0,1,0,1,0,0
90629216,4.650293,0.0,0,0,1,0,1,0,0
91129239,4.487549,0.0,0,0,1,0,1,0,0
91629238,4.4972167,0.0,0,0,1,0,1,0,0
92139229,4.6100097,0.0,0,0,1,0,1,0,0
92639225,4.326416,0.0,0,0,1,0,1,0,0
93139228,4.553613,0.0,0,0,1,0,1,0,0
93639216,4.6180663,0.0,0,0,1,0,1,0,0
94139216,4.395703,0.0,0,0,1,0,1,0,0
94639216,4.502051,0.0,0,0,1,0,1,0,0
95139264,4.650293,0.0,0,0,1,0,1,0,0
95649234,4.5955076,0.0,0,0,1,0,1,0,0
96149216,4.589062,0.0,0,0,1,0,1,0,0
96649216,4.6293454,0.0,0,0,1,0,1,0,0
97149216,4.460156,0.0,0,0,1,0,1,0,0
97649216,4.5342774,0.0,0,0,1,0,1,0,0
98159216,4.6325684,0.0,0,0,1,0,1,0,0
98659218,4.5052733,0.0,0,0,1,0,1,0,0
99159216,4.508496,0.0,0,0,1,0,1,0,0
99659216,4.6567383,0.0,0,0,1,0,1,0,0
101159216,4.5697265,0.0,0,0,1,0,1,0,0
101659219,4.514941,0.0,0,0,1,0,1,0,0
102169231,4.395703,0.0,0,0,1,0,1,0,0
102669216,4.680908,0.0,0,0,1,0,1,0,0
103169216,4.5600586,0.0,0,0,1,0,1,0,0
103669237,4.621289,0.0,0,0,1,0,1,0,0
104169229,4.527832,0.0,0,0,1,0,1,0,0
104679222,4.635791,0.0,0,0,1,0,1,0,0
105179230,4.5310545,0.0,0,0,1,0,1,0,0
105679220,4.590674,0.0,0,0,1,0,1,0,0
106179216,4.5697265,0.0,0,0,1,0,1,0,0
106689236,4.5826173,0.0,0,0,1,0,1,0,0
107189258,4.4569335,0.0,0,0,1,0,1,0,0
107689216,4.5213866,0.0,0,0,1,0,1,0,0
108189216,4.5439453,0.0,0,0,1,0,1,0,0
109689216,4.568115,0.0,0,0,1,0,1,0,0
110189222,4.46499,0.0,0,0,1,0,1,0,0
110699233,4.590674,0.0,0,0,1,0,1,0,0
111199216,4.6051755,0.0,0,0,1,0,1,0,0
111699228,4.4972167,0.0,0,0,1,0,1,0,0
112199246,4.5600586,0.0,0,0,1,0,1,0,0
112699216,4.6229005,0.0,0,0,1,0,1,0,0
113199237,4.448877,0.0,0,0,1,0,1,0,0
113699228,4.563281,0.0,0,0,1,0,1,0,0
114209216,4.453711,0.0,0,0,1,0,1,0,0
114709216,4.6245117,0.0,0,0,1,0,1,0,0
115209237,4.5117188,0.0,0,0,1,0,1,0,0
115709222,4.616455,0.0,0,0,1,0,1,0,0
116209225,4.411816,0.0,0,0,1,0,1,0,0
116719216,4.589062,0.0,0,0,1,0,1,0,0
117219216,4.5310545,0.0,0,0,1,0,1,0,0
117719216,4.5455565,0.0,0,0,1,0,1,0,0
118219236,4.498828,0.0,0,0,1,0,1,0,0
118719240,4.611621,0.0,0,0,1,0,1,0,0
119219216,4.600342,0.0,0,0,1,0,1,0,0
119719216,4.606787,0.0,0,0,1,0,1,0,0
120219223,4.5552244,0.0,0,0,1,0,1,0,0
120719216,4.5117188,0.0,0,0,1,0,1,0,0
121219248,4.611621,0.0,0,0,1,0,1,0,0
121729216,4.5068846,0.0,0,0,1,0,1,0,0
122229275,4.642236,0.0,0,0,1,0,1,0,0
122729216,4.4279294,0.0,0,0,1,0,1,0,0
123229221,4.576172,0.0,0,0,1,0,1,0,0
123729256,4.5503907,0.0,0,0,1,0,1,0,0
124229216,4.6567383,0.0,0,0,1,0,1,0,0
124729235,4.453711,0.0,0,0,1,0,1,0,0
126239251,4.5439453,0.0,0,0,1,0,1,0,0
126739216,4.415039,0.0,0,0,1,0,1,0,0
127239216,4.6196775,0.0,0,0,1,0,1,0,0
127739224,4.51333,0.0,0,0,1,0,1,0,0
128249216,4.4859376,0.0,0,0,1,0,1,0,0
128749230,4.6245117,0.0,0,0,1,0,1,0,0
129249225,4.553613,0.0,0,0,1,0,1,0,0
129749216,4.5697265,0.0,0,0,1,0,1,0,0
130259216,4.453711,0.0,0,0,1,0,1,0,0
130759216,4.655127,0.0,0,0,1,0,1,0,0
131259241,4.5052733,0.0,0,0,1,0,1,0,0
131759225,4.674463,0.0,0,0,1,0,1,0,0
132259254,4.5858397,0.0,0,0,1,0,1,0,0
132759216,4.51333,0.0,0,0,1,0,1,0,0
133259220,4.6083984,0.0,0,0,1,0,1,0,0
133769232,4.493994,0.0,0,0,1,0,1,0,0
134269216,4.5439453,0.0,0,0,1,0,1,0,0
134769216,4.503662,0.0,0,0,1,0,1,0,0
135269226,4.5310545,0.0,0,0,1,0,1,0,0
135769236,4.4021482,0.0,0,0,1,0,1,0,0
136269216,4.611621,0.0,0,0,1,0,1,0,0
136769216,4.5326657,0.0,0,0,1,0,1,0,0
137269228,4.5568357,0.0,0,0,1,0,1,0,0
137779216,4.5568357,0.0,0,0,1,0,1,0,0
138279217,4.6696286,0.0,0,0,1,0,1,0,0
138779228,4.563281,0.0,0,0,1,0,1,0,0
139279216,4.613232,0.0,0,0,1,0,1,0,0
139779216,4.547168,0.0,0,0,1,0,1,0,0
140279216,4.627734,0.0,0,0,1,0,1,0,0
140779216,4.484326,0.0,0,0,1,0,1,0,0
141289217,4.576172,0.0,0,0,1,0,1,0,0
141789217,4.6083984,0.0,0,0,1,0,1,0,0
142289223,4.527832,0.0,0,0,1,0,1,0,0
142789235,4.5052733,0.0,0,0,1,0,1,0,0
143289222,4.5342774,0.0,0,0,1,0,1,0,0
143799242,4.6438475,0.0,0,0,1,0,1,0,0
144299216,4.4617677,0.0,0,0,1,0,1,0,0
144799216,4.5697265,0.0,0,0,1,0,1,0,0
145299216,4.6083984,0.0,0,0,1,0,1,0,0
145799216,4.4327636,0.0,0,0,1,0,1,0,0
146299216,4.5342774,0.0,0,0,1,0,1,0,0
146809216,4.614844,0.0,0,0,1,0,1,0,0
147309222,4.589062,0.0,0,0,1,0,1,0,0
147809216,4.5310545,0.0,0,0,1,0,1,0,0
148309216,4.613232,0.0,0,0,1,0,1,0,0
148809232,4.4375978,0.0,0,0,1,0,1,0,0
149309216,4.500439,0.0,0,0,1,0,1,0,0
